number,year,type,Luminance,Contrast,Structure
10184,2006,Suspense Crime,86.56131687,77.7447147,71.15430707
10185,2007,Suspense,133.0140535,63.76760217,127.8431538
10186,2006,Crime,89.03856996,90.0953528,140.8073897
10187,2011,Crime Spy Warfare,68.84937243,45.78569867,71.43762627
10188,2000,Suspense Crime,94.54005144,75.39080691,106.6474997
10189,2011,Crime Suspense,114.1880967,69.57783766,57.72498189
10190,2011,Suspense Crime,117.3947016,75.92441825,125.6358663
10191,2012,Crime Suspense,64.15066872,63.07137316,83.63373014
10192,2013,Action Suspense,28.76371399,43.70545495,76.14794935
10193,2014,Suspense Action,36.61802469,46.78627969,33.84693781
10194,2017,Spy Warfare,61.40013374,53.71400571,74.00887371
10195,2015,Revolution War,71.10257202,62.12253716,90.66638131
10196,2014,Action Crime Sci-Fi Suspense,53.92116255,67.56225104,91.44944678
10197,2016,Crime Suspense,172.4550823,51.39874459,62.06150339
10198,2015,Crime,100.2374383,49.11628295,51.16280451
10199,2011,Documentary,88.24483539,42.96864818,42.08736177
10200,2016,Action Sci-Fi Suspense,61.0351749,49.8166146,92.01437434
10201,2019,Spy Warfare,92.51628601,93.31220088,97.79278196
10202,2020,Suspense,78.32790123,73.13370297,101.4650415
10203,2022,Crime,75.01042181,55.93691869,99.44539674
10204,2011,Crime,163.1599794,98.65968404,124.8326145
10205,2007,Comedy,163.5706173,66.39425434,127.5828866
10206,2022,Romance Youth Idol,155.0770988,66.96917833,83.19393611
10207,2013,Myth and Fantasy Ancient Costume Romance,125.3869342,57.89305997,68.11993971
10208,2002,Crime,55.61396091,79.94084449,115.6847486
10209,2003,Action Sci-Fi,105.2096091,69.68428593,87.2621557
10210,2005,Suspense Crime,129.5586934,78.65111135,75.73232987
10211,2006,Suspense Horror,77.36889918,56.28061118,74.13019117
10212,2010,Suspense Crime,103.355679,90.76291876,137.0413884
10214,2010,Family,52.35848765,57.67461013,70.78259081
10215,2011,Modern City,75.1512037,81.09458094,107.4425512
10216,2004,Suspense,128.6037449,56.44778495,92.79832184
10217,2009,Suspense Crime,76.80408436,66.79966011,107.577042
10218,2006,Suspense Crime,97.49924897,70.78686725,111.2994124
10219,2005,Suspense Crime,105.3833642,79.08748046,136.8904112
10220,2007,Suspense Crime,102.3923868,72.56938828,161.0277476
10221,2006,Crime,70.32588477,83.68932992,86.73181658
10222,2011,Revolution,64.37703704,59.26371404,106.597575
10223,2013,Crime,90.5830144,95.06296322,114.7218169
10224,2018,Crime,73.10920782,59.2321953,117.807222
10225,2019,Crime Suspense,70.09287037,64.15735403,120.1216083
10226,2016,Suspense,64.60435185,62.81621894,114.1218562
10227,2017,Suspense Crime,36.16702675,60.75388329,75.90275932
10228,2018,Crime Suspense,161.245,93.18034969,157.7688117
10229,2018,Crime Suspense,71.92356996,58.1915258,112.0623154
10230,2020,Suspense,59.44987654,72.14063538,79.42351138
10231,2021,Suspense,45.24342593,50.40242696,73.3932046
10232,2023,Crime Suspense,47.53013374,39.65854203,63.32271879
10233,2015,Revolution,142.5454218,62.61089154,91.90537028
10234,2002,Crime,92.84423868,68.49537275,83.68151712
10235,2011,Crime,76.21744856,44.19896816,74.96956638
10236,2006,War,183.7861008,67.94823737,107.1096632
10237,2004,Family,,,
10238,2024,Myth and Fantasy Ancient Costume,76.62348765,62.50308007,104.626117
10239,2019,Modern City,199.1004424,35.28810761,53.4449932
10240,2014,Rural,190.0447325,71.80614632,86.21820255
10241,2022,Modern City,147.254465,68.46294393,138.2328859
10242,2011,Romance,119.1098971,67.73404312,101.7806242
10243,2004,Family,165.28107,70.91383002,86.77879598
10244,2011,Youth Idol,105.2813477,88.23864206,102.0641099
10245,2007,Inspiration,156.72357,35.33069807,37.9760677
10246,2006,Family,189.3553292,78.59301307,103.480474
10247,2012,Youth Idol,89.14478395,81.67343997,97.1774252
10248,2012,Youth Idol,223.8697428,43.63055568,72.59934718
10249,2011,Comedy,145.4245473,70.57421718,102.4271796
10250,2015,Sci-Fi Animation Children,166.1879527,52.98358501,123.8645704
10251,2020,Modern City,133.549465,68.96785693,66.95624054
10252,2019,Documentary,117.0897428,48.05229877,72.7915963
10253,2014,Comedy Romance Suspense,163.2734568,78.34365164,86.82041996
10254,2016,Revolution,98.61573045,83.43051729,92.5998301
10255,2004,Suspense Family,114.7111934,64.12905909,104.4223851
10256,2016,Romance Modern City,178.0328395,78.28951264,67.74942245
10257,2022,Modern City Inspiration,152.3270062,56.84947357,51.6822656
10258,2023,Modern City,115.3480864,63.66961509,106.2824691
10259,2005,Family,170.8220165,80.31907684,119.1536092
10260,2018,Revolution,170.0251235,81.45235477,117.6251605
10261,2018,Crime,105.1866152,73.37195153,90.78015564
10262,2009,Crime,79.37825103,55.62555805,112.287706
10263,2003,Crime,88.61332305,59.22893695,113.5758402
10264,2010,Action Spy Warfare,28.74143004,44.65151143,53.06980538
10265,2006,Crime,98.52333333,75.81807438,123.8746549
10267,2010,Suspense Spy Warfare,41.18994856,42.62928918,62.03644313
10269,2011,War,,,
10270,2014,Crime,90.35023663,79.96870439,86.25177196
10271,2015,Documentary,65.88696502,99.96953348,149.5365108
10272,2016,Action Sci-Fi,103.8815535,59.42125,119.1975768
10273,2018,Action Sci-Fi,130.0262243,62.14891914,119.507023
10274,2022,Modern City Family,149.1065844,50.8913411,89.7505533
10275,2016,Modern City,148.727284,81.90587283,118.04807
10276,2011,Romance Comedy Youth Idol,152.1845782,64.7945885,124.7997607
10277,2015,Romance Modern City,163.093714,53.57098031,91.93488207
10278,2016,Romance Time Travel,183.8231173,54.18484385,51.88965547
10279,2007,Crime,155.5835391,87.96847158,120.3702222
10281,2002,,98.25006173,50.6428142,89.60612943
10282,2013,Myth and Fantasy Ancient Costume Romance,170.3906379,68.62749028,88.31578176
10283,2013,Romance Modern City,187.3186214,65.07585747,95.1436499
10284,2021,Ancient Costume,138.0738066,78.687016,88.84808608
10285,2018,Comedy Romance Animation,144.0263477,63.52012444,97.52598854
10288,2002,Inspiration,127.2408436,78.79743355,131.5881309
10289,2014,Animation Children,136.0687757,66.80541805,89.44882643
10290,2021,Inspiration Modern City,119.7218004,80.80078435,102.1289327
10291,2007,Comedy Ancient Costume,133.401286,63.68527706,100.0236563
10292,2015,War,95.43973251,103.8110019,110.4343282
10293,2020,Modern City,112.0877263,53.15833568,148.2131423
10294,2023,Modern City,171.2283745,47.88654335,63.70581576
10295,2011,Historical Legend War,133.5322222,104.4377815,126.389305
10296,2016,War Revolution,26.00604938,44.94898783,51.11239829
10297,2005,Wuxia,166.3293519,65.59759116,112.6155179
10298,2016,Modern City,152.3652778,80.19347078,124.0786497
10299,2015,Romance,176.2407202,67.67235545,57.06008265
10300,2023,Modern City,177.7490947,55.29648082,80.38234607
10301,2007,Romance Youth Idol,114.3286523,77.76050325,99.45339412
10302,2012,Spy Warfare,98.62248971,51.85497084,84.32424918
10303,2015,Romance Suspense,156.9224897,75.79925364,78.08648334
10304,2019,Inspiration,73.29294239,53.9193208,76.35368623
10305,2021,Documentary,84.4857716,47.39355393,53.50346513
10306,2021,Historical Legend,78.15123457,60.22933186,79.64914778
10307,2022,Romance Ancient Costume,145.6552058,58.16471401,68.70275531
10308,2021,Modern City,116.5904321,59.91556809,142.0141812
10309,2016,Inspiration Suspense,169.0547325,59.9093352,87.88275691
10310,2017,Modern City,150.8980247,82.51535094,153.4773234
10311,2017,Modern City,63.16756173,70.75780214,69.73309715
10312,2021,Modern City,172.1929218,62.2181234,70.71813775
10313,2019,Romance,126.3400412,43.93609311,59.83266135
10314,2015,Animation Children,148.0406173,64.03405582,139.1988341
10315,2016,Animation Children,101.8118827,65.53982605,112.2838967
10316,2017,Animation Children,115.02857,57.39563562,114.6158684
10317,2017,Animation Children,118.6557305,68.20714445,117.8151923
10318,2015,Animation Children,117.9914815,55.93545874,112.5395391
10319,2006,Animation Children,132.6777366,63.4177632,125.4234295
10320,2014,Animation Children,141.770216,57.78752275,126.2075134
10321,2013,Animation Sci-Fi Children,108.7464712,60.64250853,91.01644919
10322,2012,Animation Children,91.12156379,60.17136807,107.4232916
10323,2009,Historical Legend Romance Youth Idol,75.34771605,79.36195276,102.3708886
10324,2010,Historical Legend Ancient Costume War,116.9721811,75.7155708,156.9399085
10325,2001,,,,
10327,2012,Ancient Costume Sci-Fi Time Travel,148.6775617,68.39307743,162.9191951
10328,2014,Comedy,147.921749,72.93287706,124.8432574
10329,2016,Ancient Costume Historical Legend,200.0930247,63.17961274,102.9231972
10330,2014,Comedy Ancient Costume,87.47719136,74.02129722,111.5919211
10331,2017,Historical Legend Ancient Costume,74.08736626,64.51079695,96.83584195
10332,2018,Comedy Ancient Costume,156.6714403,63.46846963,93.52467769
10333,2022,Ancient Costume,51.80359053,46.61875002,58.43672817
10334,2009,Youth Idol Romance,209.3276646,67.46880557,99.84138625
10335,2024,Romance Ancient Costume,162.8231379,46.62809435,84.58530286
10336,2023,Revolution War Suspense,80.96632716,65.65734915,106.6096984
10337,2008,Modern City,184.2665123,68.72892816,103.5010592
10338,2014,Modern City Romance,44.4297428,49.18043208,69.03223442
10339,2012,War,154.0991872,59.77190188,107.5803111
10340,2008,Wuxia Ancient Costume,80.79651235,66.90077031,99.75438283
10341,2002,Historical Legend Ancient Costume,128.8569033,60.20624674,134.4376382
10342,2006,Ancient Costume,147.9399486,61.26085093,94.82476746
10343,2007,,119.810751,47.76943271,48.95319289
10344,2005,Historical Legend Ancient Costume,177.9815741,58.53030044,103.4261222
10345,2006,Historical Legend Ancient Costume,60.93208848,56.25419406,71.42872281
10346,2012,Ancient Costume Historical Legend Suspense,79.44900206,57.56052595,123.6884255
10348,2009,Wuxia Ancient Costume Action Romance,151.9263992,82.11114015,113.7521243
10349,2011,Historical Legend Ancient Costume,123.9803704,60.28225385,167.9130822
10350,2006,Historical Legend Ancient Costume Time Travel,141.5169136,66.49618914,106.8441574
10351,2007,Ancient Costume,84.18222222,66.95716864,105.6426262
10352,2003,Ancient Costume,147.8656481,55.91901059,103.868074
10353,2006,Historical Legend Ancient Costume,55.3702572,42.70354596,90.63856247
10354,2003,Wuxia Ancient Costume,176.122963,68.61714686,116.7072553
10355,2004,Comedy Romance Wuxia,82.31944444,64.47279543,72.6537169
10357,2003,Action Wuxia Romance Ancient Costume,130.6422942,81.86129189,108.5454619
10358,2007,Historical Legend Ancient Costume,145.4044959,66.98199081,112.9722768
10359,2013,Ancient Costume Inspiration Historical Legend,99.9133642,64.22271157,113.3228534
10360,2015,Historical Legend Ancient Costume,186.3599794,68.74674705,100.9100575
10361,2016,Ancient Costume Historical Legend,115.8440638,68.2649415,67.34145574
10362,2016,Ancient Costume,141.6286214,59.8316197,151.7609563
10363,2022,Historical Legend Ancient Costume,107.8378601,48.30292857,96.89477736
10364,2023,Modern City,121.8157407,62.77300424,101.6851923
10365,2011,War,83.2317284,68.5572371,96.49512154
10366,2003,Ancient Costume Comedy,147.1639198,56.97117325,108.7419243
10367,2010,Spy Warfare War,92.69223251,73.20586777,86.84937023
10368,2005,Revolution,73.42686214,59.99303921,89.84977313
10369,2005,Historical Legend Ancient Costume,165.6569753,69.08324769,142.4488578
10370,2008,Crime,78.744393,63.57810274,112.655931
10371,2012,Ancient Costume Historical Legend Action,96.21721193,63.18482027,149.9822363
10372,2013,Revolution War,64.44822016,53.51247858,111.2284972
10373,2014,Ancient Costume Suspense,44.55062757,63.65078068,87.09038414
10374,2014,Historical Legend Ancient Costume,137.0391564,72.73189075,136.9226631
10375,2018,Revolution,56.18868313,67.5395843,121.4630897
10376,2020,Crime,94.13255144,79.58949606,107.0482815
10377,2012,Historical Legend Documentary,119.5271811,70.68957483,88.54009201
10378,2016,Historical Legend War,68.06377572,51.87438627,78.74550197
10379,2012,Modern City Family,151.214784,62.1593587,135.9778326
10380,2008,Historical Legend,62.20089506,51.77338681,70.01568571
10381,2010,Myth and Fantasy Ancient Costume Action,108.1431996,69.2474667,104.2932642
10382,2011,Historical Legend Ancient Costume,105.5832202,65.57969964,125.7672721
10383,2024,Modern City,142.5105967,66.39895082,56.55524071
10384,2021,Ancient Costume,171.5684568,73.0023065,57.54498425
10385,2017,Modern City Family,151.2124588,63.67415261,90.23425392
10386,2008,Historical Legend,134.8029733,63.57410825,124.5182779
10387,2023,Romance Myth and Fantasy Ancient Costume,180.2159671,66.89510649,86.39687508
10388,2007,,,,
10389,2016,Modern City Youth Idol,34.34397119,35.67431522,47.34026962
10390,2022,Suspense Crime,102.7607099,76.57040893,105.5454908
10391,2009,Suspense Romance,81.80856996,59.32481794,67.06851261
10392,2000,Modern City Inspiration,157.3799691,54.23480136,93.49386676
10393,2005,Romance,,,
10394,2008,Historical Legend Family Romance,83.9554321,76.37531158,73.47113215
10395,2002,Sci-Fi,117.2501132,55.60853627,107.8355574
10396,2011,Family Romance,152.8552366,76.94111545,107.532542
10397,2011,Historical Legend,,,
10398,2011,War,85.58082305,64.69545918,80.97679784
10399,2012,War,95.37661523,47.73599963,93.09200281
10400,2013,Crime,83.59182099,70.26377744,116.7729232
10401,2013,Modern City Family,61.77393004,64.82453623,74.8409571
10402,2017,Romance Time Travel,178.444465,60.13419956,70.00292793
10403,2016,War,50.38562757,62.43588106,82.65855938
10404,2015,Modern City,147.4029218,71.09565544,124.3064077
10405,2016,Modern City Romance,167.4819547,72.14177117,89.85352745
10406,2016,War,101.2299074,71.59464895,127.2485402
10407,2021,Myth and Fantasy Ancient Costume,98.94133745,69.6665445,138.9729186
10408,2015,Sci-Fi,80.0772428,53.26930107,92.46586367
10409,2016,Romance Comedy Myth and Fantasy,145.7183642,68.433167,102.0232077
10410,2016,Horror Sci-Fi,131.0150206,63.76281862,72.15437431
10411,2019,Wuxia Suspense,74.93959877,69.73968487,122.7331705
10412,2018,Revolution,84.80354938,56.6346894,119.7494416
10413,2016,Romance,185.2494136,78.42054893,133.9527395
10414,2017,Revolution,65.62992798,58.77635992,58.76348955
10415,2023,Modern City,65.09569959,63.02008219,55.16951117
10416,2019,Revolution,141.0133642,72.46612162,83.41708085
10417,2018,Modern City,183.4087346,86.68263222,101.3282983
10418,2019,Modern City,199.5798354,66.2252779,128.4558003
10419,2020,Suspense Crime,69.53217078,81.3053907,58.87803563
10420,2023,Romance Ancient Costume,179.9045679,50.13363856,79.34575835
10421,2020,Suspense,75.07440329,55.39549442,83.38692337
10422,2020,Suspense,47.65187243,48.16628007,91.87612479
10423,2018,Ancient Costume,58.81875514,54.89825194,75.38037164
10424,2010,War,51.92553498,63.31552974,80.15588941
10425,2004,Crime,,,
10426,2011,Comedy,141.0803704,72.87251525,183.6435371
10427,2018,Modern City,125.5306996,64.70548809,120.8555596
10428,2016,Romance,134.2473868,85.98418826,99.1089382
10429,2003,Historical Legend Ancient Costume Action,114.3458539,84.41015266,154.6968682
10430,2019,Historical Legend,142.0445165,71.47451878,109.4840571
10431,2010,Crime Suspense,85.60408436,81.96427651,102.5851745
10432,2008,Suspense Crime,73.04335391,75.81676846,109.1235348
10433,2002,Crime Suspense,80.44753086,79.69450017,102.6638517
10434,2000,Crime Suspense,40.05786008,54.70398931,66.01738524
10435,2019,Romance,153.6049486,57.23821454,98.71800703
10436,2014,Comedy,107.036749,59.65832143,119.3595225
10437,2020,Romance,158.8364095,57.57690364,102.3630148
10438,2018,Youth Idol,195.8311317,47.62711648,70.92504838
10439,2010,Romance Youth Idol,140.2664609,79.25986072,66.20071005
10440,2005,Ancient Costume Comedy,130.527037,88.82433495,148.8931608
10441,2012,Ancient Costume Comedy,139.2274383,66.11077537,129.6244573
10442,2022,Comedy Action Romance,72.33833333,57.6719777,116.6542161
10443,2018,Myth and Fantasy Ancient Costume,59.69183128,54.82168092,98.50357245
10444,2012,Myth and Fantasy Ancient Costume Comedy,106.3008128,69.21653323,108.7071709
10445,2011,Family,190.1435288,69.74485236,82.53238064
10446,2022,Romance,163.1838683,55.0616581,59.4878608
10447,2013,Spy Warfare,145.3448663,59.89096856,72.81534507
10448,2011,Crime Suspense,127.7695062,56.51985284,108.3642877
10449,2013,War,68.71953704,57.00738809,84.31819927
10450,2016,Romance Youth Idol,188.1088477,62.44324043,80.03961912
10451,2007,Romance Youth Idol,71.60506173,69.595132,127.127299
10452,2016,Youth Idol Sci-Fi Romance,97.82512346,74.59376839,105.6198467
10453,2013,Youth Idol,66.09806584,57.51041964,80.61886972
10454,2012,Youth Idol,130.8314815,86.86278189,132.7891394
10455,2005,Youth Idol Sci-Fi,53.1667284,61.42363036,106.2268304
10456,2018,Action Romance Sci-Fi,76.91622428,67.25466135,109.4616877
10457,2014,Youth Idol,104.8806276,78.72517441,131.1010744
10458,2000,Crime,120.3244959,72.97701285,130.1521785
10459,2016,Revolution,101.3370473,64.40934045,119.9050465
10460,2017,Action Romance Sci-Fi,91.51751029,69.79328061,137.3097588
10461,2013,War,94.51280864,62.8185777,99.49186987
10462,2003,Crime,131.8997531,78.5769568,120.4413492
10463,2005,,121.4352263,85.2766464,99.71172859
10464,2015,Comedy,148.4770885,86.82235334,132.0177013
10465,2015,Comedy,109.6965638,71.36792014,120.4647513
10466,2007,Crime,91.55679012,70.40559512,121.292737
10467,2006,Action Suspense,151.0448457,99.60460398,65.96842808
10468,2014,Sci-Fi Youth Idol,126.0758848,81.9767674,127.5611539
10469,2014,War,80.20472222,49.23531107,96.0917833
10470,2020,Suspense,90.78389918,55.33079235,46.04351979
10471,2015,Revolution War,83.55339506,66.69150408,109.2236726
10472,2000,Ancient Costume,,,
10473,2019,Modern City,174.858107,64.40384952,98.32271825
10474,2014,Suspense,109.841821,89.2347093,118.9661913
